stop_id,stop_lat,stop_lon,VenueID,Venue,Venue Latitude,Venue Longitude,Venue Category
10656,49.193290999999995,-123.160097,4ad6766af964a5204e0721e3,Sea Island Centre SkyTrain Station,49.19306830233455,-123.15813493848773,Train Station
10656,49.193290999999995,-123.160097,4f15d136e4b067f673fa8e77,Sodexo,49.195119531628215,-123.15929976162282,Deli / Bodega
10656,49.193290999999995,-123.160097,4d297b2077a2a1cd17916cb7,Air Canada Training Center,49.194594202223335,-123.15698829466264,Plane
10656,49.193290999999995,-123.160097,4cbe7e419ca854810527b116,Menzies,49.18954421055025,-123.15943591669605,Airport Terminal
10656,49.193290999999995,-123.160097,51ed4bf2498e37096de91764,Hellmann Worldwide Logistics,49.19147139,-123.16615287,Electronics Store
10659,49.193296999999994,-123.16698400000001,4d2f3de790cb236a99bd6b78,Starbucks,49.192907581752124,-123.17029400754731,Coffee Shop
10659,49.193296999999994,-123.16698400000001,536e9f95498e6848bdd6dccf,Tim Hortons,49.19181295359602,-123.16891322453694,Coffee Shop
10659,49.193296999999994,-123.16698400000001,4de595ae18389f0558663fa2,YVR Control Tower,49.19376379317405,-123.16706213372476,Airport
10659,49.193296999999994,-123.16698400000001,51ed4bf2498e37096de91764,Hellmann Worldwide Logistics,49.19147139,-123.16615287,Electronics Store
10659,49.193296999999994,-123.16698400000001,4e9c99a87ed1753a26a75cd2,Sunglass Hut,49.1929581,-123.1710687,Accessories Store
10659,49.193296999999994,-123.16698400000001,4bdb994b2a3a0f474a07b0b6,Petro-Canada,49.192519,-123.171294,Gas Station
1066,49.244188,-123.04263700000001,4b8807fbf964a5205ada31e3,Slocan Park,49.24382789793214,-123.04807662963867,Park
1066,49.244188,-123.04263700000001,4aef93d1f964a5205bd921e3,29th Avenue SkyTrain Station,49.244182996351675,-123.04520600795536,Metro Station
1066,49.244188,-123.04263700000001,4d3da4b944f5a093ccf2d6bb,Bus Stop 51056 (16),49.24416624070456,-123.04489484460584,Bus Stop
1066,49.244188,-123.04263700000001,4e2e103b6284021061e65ed9,Renfrew Ravine Sanctuary Park,49.24480848009956,-123.04447174072266,Park
1066,49.244188,-123.04263700000001,4fb95b66e4b052fc9886f61f,Bus Stop 61616 (33),49.24436744350469,-123.04505234873024,Bus Station
1066,49.244188,-123.04263700000001,54c1855e498eb34a1c816622,"Vancouver, Canada",49.24322961698867,-123.04447362115401,Bar
1066,49.244188,-123.04263700000001,4f4dbb6de4b05dbceba76f18,Bus Stop 51603 (29),49.244188648486286,-123.04540039674873,Bus Stop
