stop_id,stop_lat,stop_lon,VenueID,Venue,Venue Latitude,Venue Longitude,Venue Category
11180,49.241059,-123.032729,4ba59386f964a520b01339e3,Panaderia Latina,49.23981109528602,-123.03016983559155,Bakery
11180,49.241059,-123.032729,57c202a7498e6005b54cd589,Sushi Taku,49.239855,-123.030175,Sushi Restaurant
11180,49.241059,-123.032729,4aa82bb3f964a520cb4f20e3,Bamboo Cafe,49.23827756831136,-123.0321268791501,Café
11180,49.241059,-123.032729,53eadb4b498eefa7ad518df7,Tim Hortons,49.23877058644872,-123.03168967366219,Coffee Shop
11180,49.241059,-123.032729,4bef7dcaf97d952181009538,Super Great Pizza,49.238363127072425,-123.0321721970351,Pizza Place
11180,49.241059,-123.032729,4ab951a3f964a520eb7e20e3,Joyce - Collingwood SkyTrain Station,49.238561926643115,-123.03191346942029,Metro Station
11180,49.241059,-123.032729,4aa96f4af964a520a15320e3,Subway,49.23724263026556,-123.03263142726996,Sandwich Place
11180,49.241059,-123.032729,4ab6e51df964a5206a7920e3,Sunflower Bubble Tea,49.237919854588014,-123.03218700591049,Asian Restaurant
11180,49.241059,-123.032729,5842106603cf25529f6bf6c6,Bao Bakery,49.238164894248634,-123.03214707898445,Bakery
11180,49.241059,-123.032729,4bc3bddc461576b017217f32,Goto King,49.23767720607042,-123.03243900035038,Asian Restaurant
11180,49.241059,-123.032729,4d1d6f3f8629224bbf4df986,Donair Land,49.23847134451461,-123.0322440184142,Falafel Restaurant
11180,49.241059,-123.032729,4ad3b23bf964a520b2e520e3,Cariboo Park,49.24429368032685,-123.02900286674655,Park
11181,49.241397,-123.03318600000001,4ba59386f964a520b01339e3,Panaderia Latina,49.23981109528602,-123.03016983559155,Bakery
11181,49.241397,-123.03318600000001,57c202a7498e6005b54cd589,Sushi Taku,49.239855,-123.030175,Sushi Restaurant
11181,49.241397,-123.03318600000001,4aa82bb3f964a520cb4f20e3,Bamboo Cafe,49.23827756831136,-123.0321268791501,Café
11181,49.241397,-123.03318600000001,53eadb4b498eefa7ad518df7,Tim Hortons,49.23877058644872,-123.03168967366219,Coffee Shop
11181,49.241397,-123.03318600000001,4bef7dcaf97d952181009538,Super Great Pizza,49.238363127072425,-123.0321721970351,Pizza Place
11181,49.241397,-123.03318600000001,4ab951a3f964a520eb7e20e3,Joyce - Collingwood SkyTrain Station,49.238561926643115,-123.03191346942029,Metro Station
11181,49.241397,-123.03318600000001,4aa96f4af964a520a15320e3,Subway,49.23724263026556,-123.03263142726996,Sandwich Place
11181,49.241397,-123.03318600000001,4ab6e51df964a5206a7920e3,Sunflower Bubble Tea,49.237919854588014,-123.03218700591049,Asian Restaurant
11181,49.241397,-123.03318600000001,5842106603cf25529f6bf6c6,Bao Bakery,49.238164894248634,-123.03214707898445,Bakery
11181,49.241397,-123.03318600000001,4bc3bddc461576b017217f32,Goto King,49.23767720607042,-123.03243900035038,Asian Restaurant
11181,49.241397,-123.03318600000001,4f8aff7ae4b07efb9f3f4214,Joyce - Collingwood Station Bay #4,49.23878852459134,-123.03197892927356,Bus Station
11181,49.241397,-123.03318600000001,4aed062ff964a520cacc21e3,Pizza by the Slice,49.238661,-123.031865,Pizza Place
11181,49.241397,-123.03318600000001,4c02e38639d476b02a592fa7,Joyce Grocery,49.2385169,-123.03241890000001,Grocery Store
11181,49.241397,-123.03318600000001,5c5885ad35f983002ccfb4e7,Milk & Sugar Bbq Bar,49.238238,-123.031929,BBQ Joint
11181,49.241397,-123.03318600000001,4aba837ef964a520b68120e3,The Ice Cream Truck,49.23837298657021,-123.0312390365368,Food Truck
11181,49.241397,-123.03318600000001,4dc44eccae608779d11e4ccc,Freshslice Pizza,49.237933313579326,-123.03215220443937,Pizza Place
11181,49.241397,-123.03318600000001,59053670c21cb14daa040e48,Plato Filipino,49.237865,-123.03259,Restaurant
11181,49.241397,-123.03318600000001,4aaa6d90f964a520ea5520e3,Kay Market,49.237854206197646,-123.03222229292354,Grocery Store
11181,49.241397,-123.03318600000001,4ad3b23bf964a520b2e520e3,Cariboo Park,49.24429368032685,-123.02900286674655,Park
11182,49.242748,-123.03563500000001,4c003328c30a2d7fd330121d,Rocky Mountain Trading Company,49.24453,-123.033769,Clothing Store
11182,49.242748,-123.03563500000001,537f9d85498e60dfd7a92421,Sim Sim Donair,49.24456787109375,-123.03822326660156,Mediterranean Restaurant
11182,49.242748,-123.03563500000001,56b6d843498ed26514ac08d0,Wagdy's Shisha House,49.24368211360675,-123.03094188866928,Hookah Bar
11182,49.242748,-123.03563500000001,56e04292498e133cb73dfd4c,Zebelkhan Construction,49.246244,-123.035105,Construction & Landscaping
11183,49.240302,-123.030526,4ba59386f964a520b01339e3,Panaderia Latina,49.23981109528602,-123.03016983559155,Bakery
11183,49.240302,-123.030526,4d93ce32d07eb1f792b400bc,Gaston Park,49.23606905148799,-123.03041604660854,Park
11183,49.240302,-123.030526,57c202a7498e6005b54cd589,Sushi Taku,49.239855,-123.030175,Sushi Restaurant
11183,49.240302,-123.030526,53eadb4b498eefa7ad518df7,Tim Hortons,49.23877058644872,-123.03168967366219,Coffee Shop
11183,49.240302,-123.030526,4aa82bb3f964a520cb4f20e3,Bamboo Cafe,49.23827756831136,-123.0321268791501,Café
11183,49.240302,-123.030526,4bef7dcaf97d952181009538,Super Great Pizza,49.238363127072425,-123.0321721970351,Pizza Place
11183,49.240302,-123.030526,4ab951a3f964a520eb7e20e3,Joyce - Collingwood SkyTrain Station,49.238561926643115,-123.03191346942029,Metro Station
11183,49.240302,-123.030526,4aa96f4af964a520a15320e3,Subway,49.23724263026556,-123.03263142726996,Sandwich Place
11183,49.240302,-123.030526,4ab6e51df964a5206a7920e3,Sunflower Bubble Tea,49.237919854588014,-123.03218700591049,Asian Restaurant
11183,49.240302,-123.030526,5842106603cf25529f6bf6c6,Bao Bakery,49.238164894248634,-123.03214707898445,Bakery
11183,49.240302,-123.030526,4bc3bddc461576b017217f32,Goto King,49.23767720607042,-123.03243900035038,Asian Restaurant
11183,49.240302,-123.030526,4d1d6f3f8629224bbf4df986,Donair Land,49.23847134451461,-123.0322440184142,Falafel Restaurant
11183,49.240302,-123.030526,4bf876da5efe2d7fa1dd6a34,Melbourne Park Basketball Court,49.23644488988543,-123.028684258461,Basketball Court
11183,49.240302,-123.030526,4ad3b23bf964a520b2e520e3,Cariboo Park,49.24429368032685,-123.02900286674655,Park
11184,49.242237,-123.03560300000001,4ba59386f964a520b01339e3,Panaderia Latina,49.23981109528602,-123.03016983559155,Bakery
11184,49.242237,-123.03560300000001,57c202a7498e6005b54cd589,Sushi Taku,49.239855,-123.030175,Sushi Restaurant
11184,49.242237,-123.03560300000001,53eadb4b498eefa7ad518df7,Tim Hortons,49.23877058644872,-123.03168967366219,Coffee Shop
11184,49.242237,-123.03560300000001,4bef7dcaf97d952181009538,Super Great Pizza,49.238363127072425,-123.0321721970351,Pizza Place
11184,49.242237,-123.03560300000001,4ab951a3f964a520eb7e20e3,Joyce - Collingwood SkyTrain Station,49.238561926643115,-123.03191346942029,Metro Station
11184,49.242237,-123.03560300000001,4f8aff7ae4b07efb9f3f4214,Joyce - Collingwood Station Bay #4,49.23878852459134,-123.03197892927356,Bus Station
11184,49.242237,-123.03560300000001,4c02e38639d476b02a592fa7,Joyce Grocery,49.2385169,-123.03241890000001,Grocery Store
11184,49.242237,-123.03560300000001,4aed062ff964a520cacc21e3,Pizza by the Slice,49.238661,-123.031865,Pizza Place
11185,49.185533,-122.53979299999999,4d4b8dd59a8af04df4860eaf,Leisure Loop Park,49.186145067214966,-122.5461494922638,Park
11185,49.185533,-122.53979299999999,5eacf0e6a98218000806d148,ClearView Home Services,49.18407,-122.5347,Home Service
11186,49.183935999999996,-122.53176,5eacf0e6a98218000806d148,ClearView Home Services,49.18407,-122.5347,Home Service
11189,49.180279,-122.507126,5df37cd8775cb40008e98cad,Sentry Building Maintenance Co.,49.17937734293389,-122.50410139563428,Construction & Landscaping
11189,49.180279,-122.507126,52ec19fc498e281d30357be1,thornhill disc golf park,49.18030895001911,-122.50083561423939,Disc Golf
11190,49.180253,-122.497519,52ec19fc498e281d30357be1,thornhill disc golf park,49.18030895001911,-122.50083561423939,Disc Golf
11190,49.180253,-122.497519,5df37cd8775cb40008e98cad,Sentry Building Maintenance Co.,49.17937734293389,-122.50410139563428,Construction & Landscaping
