stop_id,stop_lat,stop_lon,VenueID,Venue,Venue Latitude,Venue Longitude,Venue Category
6196,49.031240999999994,-122.81280500000001,5d13579d2e173e0023095b25,786 All In 1 Service,49.0315322,-122.8118842,Construction & Landscaping
6196,49.031240999999994,-122.81280500000001,4c408ff5cc410f47a2cda961,Centennial Park,49.02918943672481,-122.81398525094136,Park
6196,49.031240999999994,-122.81280500000001,4b8c4948f964a52096c832e3,South Surrey Indoor Pool,49.03325253403828,-122.81519987548342,Gym / Fitness Center
6196,49.031240999999994,-122.81280500000001,4e67ebd0b9939a72b342e9a8,Southmere Village Park,49.03212446616738,-122.80892470778052,Park
6196,49.031240999999994,-122.81280500000001,50790f9be4b021c5512368b5,Peace Arch Curling Club,49.02941241098325,-122.81638119646396,Athletics & Sports
6198,49.027648,-122.80441599999999,5d13579d2e173e0023095b25,786 All In 1 Service,49.0315322,-122.8118842,Construction & Landscaping
6198,49.027648,-122.80441599999999,4c408ff5cc410f47a2cda961,Centennial Park,49.02918943672481,-122.81398525094136,Park
6198,49.027648,-122.80441599999999,4b8c4948f964a52096c832e3,South Surrey Indoor Pool,49.03325253403828,-122.81519987548342,Gym / Fitness Center
6198,49.027648,-122.80441599999999,4e67ebd0b9939a72b342e9a8,Southmere Village Park,49.03212446616738,-122.80892470778052,Park
6198,49.027648,-122.80441599999999,50790f9be4b021c5512368b5,Peace Arch Curling Club,49.02941241098325,-122.81638119646396,Athletics & Sports
6199,49.027654,-122.80721000000001,539e192a498e62c5566d9f9a,Wooden Spoon Co,49.02945468896608,-122.80212973004794,Bistro
6199,49.027654,-122.80721000000001,55c4f4be498e61e7c5690a35,Bean Around the World,49.027767,-122.801017,Café
6199,49.027654,-122.80721000000001,4d7c2dd07498a1cd0e4679fc,Black Tuna Sushi,49.02840197112425,-122.80137993977752,Japanese Restaurant
6199,49.027654,-122.80721000000001,4d770bb77484b60cac1e37d9,Buy-Low Foods,49.02829232751796,-122.80174382645107,Health Food Store
6199,49.027654,-122.80721000000001,4bb3cfe54019a593a87c38b8,TD Canada Trust,49.0309437,-122.803322,Bank
6199,49.027654,-122.80721000000001,4e8673f8d66a9b178e911653,Petro-Canada,49.027282,-122.80075,Gas Station
6199,49.027654,-122.80721000000001,4cc0d76bd363721ed48656c9,Shoppers Drug Mart,49.031462,-122.803902,Pharmacy
6199,49.027654,-122.80721000000001,4bef638496edc9b6febb4af2,Leela Thai,49.02587914313373,-122.801004,Thai Restaurant
